X,Y,neighborhood_id,neighborhood_name,device_serial,device_connectedto,device_address,device_lat,device_long,device_tags,etl_updatedtimestamp,is_current,org1,org2,inside_outside,landmark,ObjectId
-7916494.37020355,5207353.42966228,N_601230550253962329,BCYF Indoor,Q2JD-XS34-CU2K,BCYF-Curtis-Hall-AP2,"20 South Street, Jamaica Plain - Room 217 teen room",42.3088293380001,-71.115078894,"['BCYF', 'BCYF-Grant', 'Curtis', 'Inside', 'Jamaica-Plain']",2024/08/20 04:31:47+00,1,BCYF,,Inside,Curtis Jamaica Plain,101
,,L_601230550253963852,Mobile WiFi Kit 4,Q3AK-VU6H-QY3R,MR76-4,,,,[],2024/08/20 04:31:36+00,1,,,,,102
,,L_601230550253963852,Mobile WiFi Kit 4,Q2ZY-UMFL-3SV4,MG41-4,,,,[],2024/08/20 04:31:36+00,1,,,,,103
,,L_601230550253963853,Mobile WiFi Kit 5,Q3AK-VPCA-XAXA,MR76-5,,,,[],2024/08/20 04:31:37+00,1,,,,,104
-7904348.42368246,5218988.95300298,N_601230550253966604,East Boston Senior Center,Q3AB-3PP3-JU4W,EBSC-AP-1,"18 Barnes Avenue, East Boston, MA 02128",42.38608,-71.00597,"['Inside', 'employee']",2024/08/20 04:31:50+00,1,,,Inside,employee,105
-7910723.06864423,5208782.79928088,N_568579452955534204,Dorchester,Q2CK-H48M-P2E9,DOT-BFD21-AP3,"641 Columbia Rd., Dorchester, MA",42.3183243350001,-71.06323441,"['BFD', 'Engine-21', 'Outside']",2024/08/20 04:31:39+00,1,BFD,,Outside,Engine 21,106
-7911905.78235153,5206868.44108136,N_568579452955534204,Dorchester,Q2CK-ERFW-VHQX,DOT-HOLLAND-AP2,"85 Olney St., Dorchester, MA",42.305607337,-71.073858908,"['BCYF', 'Holland-Comm-Center', 'Outside']",2024/08/20 04:31:39+00,1,BCYF,,Outside,Holland Comm Center,107
-7917541.83095217,5199389.48754636,N_568579452955538316,Hyde Park,Q2CK-BUXF-V896,HP-BPDE18-AP3,"1276 River St., Hyde Park, MA - Hyde Park Ave & River St",42.2559003490001,-71.124488394,"['BPD', 'District', 'E-18', 'Outside']",2024/08/20 04:31:41+00,1,BPD,,Outside,District E 18,108
-7917274.8311535,5199570.87332071,N_568579452955538316,Hyde Park,Q2CK-MJQD-GHYW,HP-BPL-AP1,"35 Harvard Ave., Hyde Park, MA - Roof North",42.257106348,-71.1220898939999,"['BPL', 'Hyde-Park-Branch', 'Outside']",2024/08/20 04:31:41+00,1,BPL,,Outside,Hyde Park Branch,109
-7913720.67889044,5209400.67907213,N_601230550253962329,BCYF Indoor,Q2JD-VSFG-ZKNW,BCYF-Shelbourne-AP2,"2730 Washington St, Roxbury, MA - Game room (Teen room)",42.322428335,-71.090162401,"['BCYF', 'BCYF-Grant', 'Inside', 'Roxbury', 'Shelburne']",2024/08/20 04:31:47+00,1,BCYF,,Inside,Roxbury Shelburne,110
